番号,69,
名前,二ッ岩 マミゾウ,
呼び名,マミゾウ,
基礎,体力,1900
基礎,気力,2100
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,2100
素質,性別,1;女
;素質,処女,1;処女
素質,プライド,1;プライド高い
素質,性的興味,-1;保守的
素質,陽気／陰気,1;陽気
素質,性別嗜好,-1;両刀
素質,謎の魅力,1
素質,月光浴,1
素質,動物耳,1;動物耳
素質,具現,1
素質,妖怪,6;妖獣
素質,人妻,2;未亡人
能力,Ｖ感覚,1
能力,Ｂ感覚,1
能力,技巧,2
能力,サドっ気,2

能力,清掃技能,0
能力,話術技能,3
能力,戦闘能力,4
能力,教養,3
能力,料理技能,1
能力,音楽技能,1
素質,伐採Lv,1
素質,釣りLv,3
素質,採集Lv,3
素質,調合Lv,2

経験,Ｖ経験,20;Ｖ経験
経験,Ｂ経験,20;Ｂ経験
経験,絶頂経験,10;絶頂経験
経験,精液経験,20;精液経験
経験,Ｖ性交経験,5;Ｖ性交経験
経験,会話経験,255;会話経験
経験,戦闘経験,10;戦闘経験
経験,学習経験,30;学習経験
経験,出産経験,1;出産経験
フラグ,基本服装セット,169;服装
フラグ,地位,600;地位
フラグ,初期位置,105;経蔵
フラグ,来訪時間,900;15時
フラグ,帰宅時間,60;1時
フラグ,就寝時間,300;5時
フラグ,起床時間,720;12時
フラグ,よく行く地域,2
フラグ,自宅位置,130
フラグ,422,2;人里来訪率補正
フラグ,弾幕特能,56
相性,11,80;魔理沙
相性,25,50;藍
相性,40,120;小傘
相性,41,150;ぬえ
相性,43,120;華扇
相性,55,150;白蓮
相性,70,150;小鈴
相性,87,150;星ちゃん
相性,94,120;弁々
相性,95,120;八橋
相性,96,120;雷鼓

CSTR,10,～化け狸　十変化～　●種族：化け狸　●能力：化けさせる程度の能力
CSTR,11, 
CSTR,12,由緒正しき化け狸。
CSTR,13,幻想郷の外に住んでいた、珍しい妖怪である。
CSTR,14,旧友のピンチを救うためわざわざ幻想郷にやってきたのだ。
CSTR,15, 
CSTR,16,が、ピンチが旧友の勘違いであり、正式にこちらに来たために帰ることも出来なくなる
CSTR,17,外に比べて住み心地も良いため、人間の振りをしながら暮らすことに
CSTR,18,なお、未亡人かつ外の世界には末裔も居る模様

